Site,Plot_Num,Species_Code,Latin_Name,Total_Num,Browsed_Num,Stump Sprout_Num,Germinate_Num
TNCOWB1,236,QUIL,Quercus ilicifolia,1,0,0,0
TNCOWB1,237,QUIL,Quercus ilicifolia,4,0,0,0
TNCOWB1,238,NASP,No species found,0,0,0,0
TNCOWB1,239,NASP,No species found,0,0,0,0
TNCOWB1,240,NASP,No species found,0,0,0,0
TNCOWB1,241,NASP,No species found,0,0,0,0
TNCOWB1,242,NASP,No species found,0,0,0,0
TNCOWB1,243,NASP,No species found,0,0,0,0
TNCOWB1,244,QUIL,Quercus ilicifolia,2,0,0,0
TNCOWB1,245,NASP,No species found,0,0,0,0
TNCOWB1,246,AMSP,Amelanchier spp.,1,0,0,0
TNCOWB1,247,NASP,No species found,0,0,0,0
TNCOWB1,248,QUIL,Quercus ilicifolia,3,0,0,0
TNCOWB1,249,AMSP,Amelanchier spp.,1,0,0,0
TNCOWB1,250,PIRI,Pinus rigida,1,0,0,0
TNCOWB1,251,QUIL,Quercus ilicifolia,5,0,0,0
TNCOWB1,252,AMSP,Amelanchier spp.,5,0,0,0
TNCOWB1,253,AMSP,Amelanchier spp.,13,3,0,0
TNCOWB1,253,QUIL,Quercus ilicifolia,1,0,0,0
TNCOWB1,254,NASP,No species found,0,0,0,0
TNCOWB1,255,PRSP,Prunus sp.,1,0,0,0
TNCOWB1,256,AMSP,Amelanchier spp.,35,0,0,0
TNCOESDB2,281,QUIL,Quercus ilicifolia,3,0,0,0
TNCOESDB2,282,QUIL,Quercus ilicifolia,8,0,0,0
TNCOESDB2,283,NA,No species found,0,0,0,0
TNCOESDB2,284,QUIL,Quercus ilicifolia,11,0,0,0
TNCOESDB2,285,QUIL,Quercus ilicifolia,8,0,0,0
TNCOESDB2,286,QUIL,Quercus ilicifolia,12,0,0,0
TNCOESDB2,287,QUIL,Quercus ilicifolia,4,0,0,0
TNCOESDB2,288,QUIL,Quercus ilicifolia,12,0,0,0
TNCOESDB2,289,QUIL,Quercus ilicifolia,6,0,0,0
TNCOESDB2,290,QUIL,Quercus ilicifolia,4,0,0,0
TNCOESDB2,291,QUIL,Quercus ilicifolia,2,0,0,0
TNCOESDB2,292,NASP,No species found,0,0,0,0
TNCOESDB2,293,NASP,No species found,0,0,0,0
TNCOESDB2,294,QUIL,Quercus ilicifolia,1,0,0,0
TNCOESDB2,295,QUIL,Quercus ilicifolia,2,0,0,0
TNCOESDB2,296,NASP,No species found,0,0,0,0
TNCOESDB2,297,NASP,No species found,0,0,0,0
TNCOESDB2,298,QUIL,Quercus ilicifolia,3,0,0,0
TNCOESDB2,299,PIRI,Pinus rigida,1,1,0,0
TNCOESDB2,299,PIST,Pinus strobus,1,0,0,0
TNCOESDB2,299,QUIL,Quercus ilicifolia,1,0,0,0
TNCOESDB2,300,NASP,No species found,0,0,0,0
TNCOESDB2,301,NASP,No species found,0,0,0,0
TNCOESDB2,302,NASP,No species found,0,0,0,0
TNCOESDB2,303,AMSP,Amelanchier spp.,2,0,0,0
